Layer	    Height	  log(P)	      cp	   lapse	nClouds	isconv	Conv_Region	  Pot_Temp	Temp_center
109	1917.413822	-2.055739	26.639408	0.312112	0	0	0	0.000000e+00	190.244024
110	1927.286361	-2.141581	26.654897	0.311930	0	0	0	0.000000e+00	187.612538
111	1936.998514	-2.227423	26.673076	0.311718	0	0	0	0.000000e+00	184.561053
112	1946.533730	-2.313265	26.692989	0.311485	0	0	0	0.000000e+00	181.199760
113	1955.883208	-2.399107	26.713920	0.311241	0	0	0	0.000000e+00	177.670484
114	1965.044129	-2.484949	26.735151	0.310994	0	0	0	0.000000e+00	174.087327
115	1974.012563	-2.570790	26.756897	0.310741	0	0	0	0.000000e+00	170.427683
116	1982.760954	-2.656632	26.781661	0.310454	0	0	0	0.000000e+00	166.247072
117	1991.235018	-2.742474	26.812555	0.310096	0	0	0	0.000000e+00	161.035173
118	1999.364334	-2.828316	26.851433	0.309647	0	0	0	0.000000e+00	154.483380
119	2007.289177	-2.914158	26.946918	0.308550	1	0	0	0.000000e+00	150.599130
120	2015.139672	-3.000000	26.972839	0.109112	1	0	0	0.000000e+00	149.187027
